Plot,Actinodaphne malaccensis/pruinosa,Adenanthera malayana subsp. malayana,Adina eurhyncha,Adinandra dumosa,Aglaia rufinervis,Aglaia sp.,Aidia densiflora,Alphonsea johorensis,Alstonia angustifolia,Alstonia angustiloba,Angelesia splendens,Anisoptera megistocarpa,Antidesma coriaceum,Antidesma cuspidatum,Antidesma neurocarpum,Aporosa benthamiana,Aporosa frutescens,Aporosa globifera,Aporosa lucida,Aporosa maingayi,Aporosa nervosa,Aporosa nigricans,Aporosa prainiana,Aporosa sp. 1,Aporosa subcaudata,Aporosa symplocoides,Aquilaria malaccensis,Archidendron clypearia,Archidendron sp.,Artocarpus dadah,Artocarpus elasticus,Artocarpus heterophyllus,Artocarpus integer,Artocarpus kemando,Artocarpus lanceifolius,Artocarpus rigidus,Artocarpus scortechinii,Artocarpus sp.,Artocarpus/Ficus sp.,Baccaurea minor,Baccaurea parviflora,Baccaurea polyneura,Baccaurea pyriformis,Baccaurea racemosa,Baccaurea sumatrana,Beilschmiedia madang,Blumeodendron subrotundifolium,Bridelia pustulata,Buchanania sessifolia,Calophyllum ferrugineum,Calophyllum pulcherrimum,Calophyllum rubiginosum,Calophyllum rufigemmatum,Calophyllum sp. 151,Calophyllum tetrapterum,Calophyllum teysmannii,Calophyllum wallichianum var. incrassatum,Campnosperma auriculatum,Campnosperma squamatum,Canarium littorale,Canarium patentinervium,Canarium pilosum,Canarium sp.,Castanopsis lucida,Castanopsis wallichii,Champereia manillana,Cinnamomum iners,Clerodendrum disparifolium,Cratoxylum maingayi,Croton sp.,Cryptocarya griffithiana,Cryptocarya rugulosa,Cyrtophyllum fragrans,Dacryodes costata,Dacryodes costata/rugosa,Dacryodes laxa,Dacryodes puberula/nervosa,Dacryodes rostrata,Dialium indum,Dialium platysepalum,Dillenia excelsa var. excelsa/tomentella,Dillenia suffruticosa,Diospyros clavigera,Diospyros styraciformis,Diospyros venosa,Dipterocarpus grandiflorus,Dipterocarpus sublamellatus,Discospermum malaccense,Donella lanceolata,Drepananthus ramuliflorus,Drepananthus ridleyi,Drypetes pendula,Durio singaporensis,Dyera costulata,Elaeocarpus ferrugineus,Elaeocarpus floribundus,Elaeocarpus mastersii,Elaeocarpus petiolatus,Elaeocarpus salicifolius,Elaeocarpus stipularis,Endospermum diadenum,Epicharis cuneata,Epicharis sp.,Eurycoma longifolia,Fagraea fragrans,Ficus chartacea,Ficus kerkhovenii,Garcinia brevirostris,Garcinia parvifolia,Garcinia scortechinii,Gironniera nervosa,Gironniera parvifolia,Gironniera subaequalis,Gluta wallichii,Glycosmis chlorosperma var. chlorosperma,Gonocaryum gracile,Gonystylus confusus,Guioa pubescens,Gymnacranthera farquhariana,Gymnacranthera sp.,Gynotroches axillaris,Heritiera elata,Hevea brasiliensis,Hopea griffithii,Horsfieldia polyspherula var. polyspherula,Horsfieldia punctatifolia,Horsfieldia sp.,Horsfieldia sparsa,Huberantha rumphii,Ilex sp.,Irvingia malayana,Ixonanthes icosandra,Ixonanthes reticulata,Knema communis,Knema curtisii,Knema hookeriana,Knema intermedia,Knema latericia,Knema latericia subsp. ridleyi,Knema laurina,Knema malayana,Knema sp.,Koilodepas longifolium,Koompassia malaccensis,Lijndenia laurina,Lindera lucida,Lithocarpus conocarpus,Lithocarpus encleisacarpus,Lithocarpus lucidus,Litsea accedens,Litsea castanea,Litsea elliptica,Litsea elliptica,Litsea grandis,Litsea lancifolia,Litsea ridleyi,Litsea umbellata,Lophopetalum pallidum,Maasia hypoleuca,Maasia sumatrana,Macaranga bancana,Macaranga conifera,Macaranga gigantea,Macaranga lowii,Maclurodendron porteri,Madhuca kingiana,Madhuca sericea,Melanochyla sp.,Melicope glabra,Melicope lunu-ankenda,Meliosma pinnata subsp. ridleyi,Memecylon lilacinum,Memecylon paniculatum,Memecylon pubescens,Mezzettia parviflora,Microcos sp.,Microdesmis caseariifolia,Monoon borneense,Monoon hookerianum,Nauclea officinalis,Neolitsea cassia,Nephelium cuspidatum,Nothaphoebe umbelliflora,Ochanostachys amentacea,Palaquium microphyllum,Palaquium obovatum,Palaquium rostratum,Parartocarpus bracteatus,Parishia maingayi,Parishia maingayi var. maingayi,Parkia speciosa,Pentace triptera,Pimelodendron griffithianum,Planchonella malaccensis,Polyalthia angustissima,Popowia fusca,Popowia pisocarpa,Porterandia anisophylla,Prismatomeris sp.,Prunus arborea var. arborea,Prunus polystachya,Pseudoclausena chrysogyne,Pternandra echinata,Rhodamnia cinera,Rhodamnia cinerea,Rinorea anguifera,Sandoricum koetjape,Santiria apiculata,Santiria griffithii,Santiria laevigata,Santiria rubiginosa,Scaphium affine,Scorodocarpus borneensis,Shorea gibbosa,Shorea macroptera,Shorea pauciflora,Sindora sp.,Sloetia elongata,Sterculia rubiginosa,Sterculia sp.,Strombosia ceylanica,Strombosia javanica,Syzygium attenuatum,Syzygium borneense,Syzygium cerasiforme,Syzygium duthieanum,Syzygium filiforme,Syzygium formosum,Syzygium glaucum,Syzygium grande,Syzygium griffithi,Syzygium incarnatum,Syzygium lineatum,Syzygium ngadimanianum,Syzygium nigricans,Syzygium pustulatum,Syzygium pyrifolium,Syzygium ridleyi,Syzygium rugosum,Syzygium singaporense,Syzygium sp.,Syzygium subdecussatum,Syzygium zeylanicum,Tarenna mollis,Teijsmanniodendron coriaceum,Timonius wallichianus,Vatica maingayi,Vatica ridleyana,Xanthophyllum discolor,Xanthophyllum ellipticum,Xanthophyllum eurhynchum,Xanthophyllum flavescens,Xanthophyllum obscurum,Xanthophyllum stipitatum var. stipitatum,Xanthophyllum vitellinum,Xerospermum noronhianum
CN2,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0
WC1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0
W02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0
W03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,27,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
W04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W05,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0
W06,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,3,0,2,6,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
W07,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
W08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
W09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0
